title,phone,openingHours/0/day,openingHours/0/hours,openingHours/1/day,openingHours/1/hours,openingHours/2/day,openingHours/2/hours,openingHours/3/day,openingHours/3/hours,openingHours/4/day,openingHours/4/hours,openingHours/5/day,openingHours/5/hours,openingHours/6/day,openingHours/6/hours,city,address,imageUrl
Coiffeur Hassan,,dimanche,10:00 to 23:00,lundi,09:00 to 22:45,mardi,10:00 to 23:00,mercredi,10:00 to 23:00,jeudi,10:00 to 23:00,vendredi,10:00 to 23:00,samedi,10:00 to 23:00,Anza,"F942+7XJ, Anza 80000, Maroc",
Coiffure soufiane,,dimanche,10:00 to 23:00,lundi,10:00 to 23:00,mardi,10:00 to 23:00,mercredi,10:00 to 23:00,jeudi,10:00 to 23:00,vendredi,10:00 to 23:00,samedi,10:00 to 23:00,Agadir,"F84R+F9, Agadir 80000, Maroc",
Ayoub barber shop,+212 6 21 97 55 73,dimanche,09:30 to 00:00,lundi,09:30 to 00:00,mardi,09:30 to 00:00,mercredi,Fermé,jeudi,09:30 to 00:00,vendredi,09:30 to 00:00,samedi,09:30 to 00:00,Agadir,"F933+H72, Agadir 80000, Maroc",https://lh3.googleusercontent.com/gps-cs-s/AHVAwepE7ZtwXATd6WNCzly7N4rS6XlTZPOLABoHwA3G44yzM7Dn84fqlvIt8KYeUWalhKjpEt36WNlAAsg2kxBCh5dBU-Bl4wsms65TCeXw5ONmnTp8REtXuOhFpH18VvVYsrI_HYNk=w408-h544-k-no
حلاق لقصبة اوفلا,+212 6 11 67 20 97,,,,,,,,,,,,,,,Anza,"F962+QJ2, Unnamed Road, Anza 80000, Maroc",
Noureddine,+212 6 36 79 56 99,dimanche,09:00 to 17:00,lundi,09:00 to 21:15,mardi,09:00 to 17:00,mercredi,09:00 to 17:00,jeudi,09:00 to 17:00,vendredi,09:00 to 17:00,samedi,09:00 to 17:00,Anza,"F84Q+RXF, Av. Jamal Eddine Al Afghani, Anza 80000, Maroc",https://lh3.googleusercontent.com/gps-cs-s/AHVAwer4UwD-knHmXEn9mTKvXmyCCidsStNKVmUfB83obuX5d35QTrV4FAguxiMb_aj_zaZb9qkqWcRAqk5Dp2INE5r8MONomgOrNPMAKEtWP37-gU-9pzcjjFnyO_rqWIuXb67sAAdoGQ=w408-h839-k-no
Salon laila,+212 6 56 87 17 53,dimanche,10:00 to 21:00,lundi,10:00 to 21:00,mardi,10:00 to 21:00,mercredi,10:00 to 21:00,jeudi,10:00 to 21:00,vendredi,10:00 to 21:00,samedi,10:00 to 21:00,Anza,"F952+6PQ, Anza 80000, Maroc",
Salon skaou,,,,,,,,,,,,,,,,Anza,"F952+GXG, Anza 80000, Maroc",
Ali Coiffeur,,,,,,,,,,,,,,,,Agadir,"F952+V3, Agadir 80000, Maroc",
Salon shamse,,,,,,,,,,,,,,,,Anza,"F933+C8Q, Anza 80000, Maroc",
حلاق سعيد,,,,,,,,,,,,,,,,Anza,"F962+MHP, Anza 80000, Maroc",https://lh3.googleusercontent.com/gps-cs-s/AHVAweqEvAemZ807VQKm-xrKMX4hW9h4CRZMKcJEdgAgq4QMvkjMU2rL8Q4fKADVPzZasbLrPofj2XRoNqHDkPdv5jDM3AK6NNlTqf7KpN0JpLdbn0AjrswylDc7Jtn-38VZiSbAa3gZoIiYofg=w533-h240-k-no
فارس,,,,,,,,,,,,,,,,Agadir,"Agadir 80000, Maroc",https://lh3.googleusercontent.com/p/AF1QipPsarTqgzywIdHDQG9TUQaqgAahJF-R7qQTXZ_f=w408-h544-k-no
صالون محمد للحلاقة,,dimanche,08:00 to 23:00,lundi,08:00 to 23:00,mardi,08:00 to 23:00,mercredi,08:00 to 23:00,jeudi,08:00 to 23:00,vendredi,08:00 to 23:00,samedi,08:00 to 23:00,Agadir,"F967+FVM 2،, Agadir 80000،, Maroc",
SALON PHYL COIF,+212 7 07 96 80 83,,,,,,,,,,,,,,,,,
Salon sandrilla coiffure pour femme (صالون سندريلا لحلاقة النساء),+212 6 66 84 56 68,samedi,"10:00 to 12:45, 14:15 to 22:00",,,,,,,,,,,,,Agadir,"CF23+999, Rue Anzi, Agadir 80000, Maroc",https://lh3.googleusercontent.com/p/AF1QipNe3vO4fxpcqFUS0s7-x7L611GgFPVLuwOODnCw=w408-h544-k-no
Premium Elegance coiffure,+212 6 99 54 72 51,samedi,Ouvert 24h/24,,,,,,,,,,,,,Agadir,"Agadir 80000, Maroc",https://lh3.googleusercontent.com/p/AF1QipOEtlquJBXLQzjA1Aq17upDgLZVswtoX03HGwZt=w408-h545-k-no
Salon bon style,+212 6 24 78 42 58,samedi,09:00 to 00:00,,,,,,,,,,,,,Agadir,"Agadir 80000, Maroc",https://lh3.googleusercontent.com/p/AF1QipNLcNIqpDL-EDUeg6EAVOtHk486ywy9_YVCnQhu=w408-h408-k-no
Salon Bahija,+212 6 61 34 50 39,samedi,10:00 to 20:00,,,,,,,,,,,,,Agadir,"17 résidence tislit, quartier, Agadir 80000, Maroc",https://lh3.googleusercontent.com/p/AF1QipMW0qAoRE9sOBV8dhnnt8ZIhUY5IKqZwDgvzgBA=w408-h544-k-no
Achraf Hair Style,+212 6 01 11 57 99,samedi,10:00 to 02:00,,,,,,,,,,,,,Agadir,"CF33+5M2, Rue 970, Agadir 80000, Maroc",https://lh3.googleusercontent.com/gps-cs-s/AHVAweoFJKHZFO0woM7XmiyNqqs8RG5sQUT_o9ka3Eifz2gxmNmhL3nrCR_US-KcIRZjC_qN3kp5Md-0j4DCla5GnILaLG03jGuy6mlI0rdO2qqqIZfKPaiMN-O18RWPqoQG-TY0LOA=w408-h544-k-no
FULL LOOK by H,+212 5 28 32 54 99,samedi,10:00 to 22:00,,,,,,,,,,,,,Agadir,"Hay, Agadir 80000, Maroc",https://lh3.googleusercontent.com/p/AF1QipM7nhWgC3y1NXk1cbSKG9jTTd6cWK7qKYWtFImJ=w408-h544-k-no
Salon HL,,samedi,09:00 to 01:00,,,,,,,,,,,,,Agadir,"27 Rue 948, Agadir 80000, Maroc",https://lh3.googleusercontent.com/p/AF1QipPZzU7qVRvgsJyTSi3Bth_7Dg4enGzOqEJTHSEH=w408-h408-k-no
ABDELILAH EL BOUCHIKHI BARBER SHOP,+212 6 11 82 72 97,dimanche,11:00 to 23:00,lundi,11:00 to 23:00,mardi,11:00 to 23:00,mercredi,11:00 to 23:00,jeudi,11:00 to 23:00,vendredi,11:00 to 23:00,samedi,11:00 to 23:00,Agadir,"9GH4+CWH, Agadir 80000, Maroc",https://lh3.googleusercontent.com/gps-cs-s/AHVAweotONKX9GfZ5vXsT2X-5bNck-N4OLNXRnKurCa9duNe-rGaGA__vnKqOAE047VFKRCNYg_hKL2D6LBGBws15IiIru3ROr2oBxW7lY0sHx76NvNSMItdQlXYKVoq6lrY2Z8qOqR1sEyewyE=w408-h544-k-no
Barber shop per la playa,+212 6 51 12 65 77,dimanche,Ouvert 24h/24,lundi,Ouvert 24h/24,mardi,Ouvert 24h/24,mercredi,Ouvert 24h/24,jeudi,Ouvert 24h/24,vendredi,Ouvert 24h/24,samedi,Ouvert 24h/24,Agadir,"Near Rue Bahreine, Agadir 80000, Maroc",https://lh3.googleusercontent.com/gps-cs-s/AHVAweofQPcnLNNmZ-0dSVUD2aPZNY2JpZ1LDjmdEGCwgfQ-_qs5QqoRog5bTGVjI246sLUX-x1jkrIAnVt95qxfVOlZcMtVn7IMkYADkJhkTwoRLZFe328rhwrZpkMglTwN4Hz1MiV0JMxSY7P8=w426-h240-k-no
Abdo Barber Shop,+212 6 07 01 98 56,dimanche,10:00 to 23:30,lundi,10:00 to 23:00,mardi,10:00 to 23:00,mercredi,10:00 to 23:00,jeudi,10:00 to 23:00,vendredi,10:00 to 23:30,samedi,10:00 to 23:30,Agadir,"3022 Avenue Charij Albarj, Agadir 80000, Maroc",https://lh3.googleusercontent.com/gps-cs-s/AHVAwepZ1qxjlzsO3ByTGF--KJlvHfcmyAtMKEHBgnr69PehGfxoHkwH-ULcdU0sgTpNxDT0EdWmqlQztNBXkMe_YrMRQCjQxKFEJp23qAi3WCAYZq5ch3uHQ0K3s7h5Vor6qHzQQnsV=w408-h544-k-no
Hicham barber shop,,,,,,,,,,,,,,,,Anza,"F973+PCH, Anza 80000, Maroc",
barber shop,+212 7 14 09 52 63,dimanche,Ouvert 24h/24,lundi,Ouvert 24h/24,mardi,Ouvert 24h/24,mercredi,Ouvert 24h/24,jeudi,Ouvert 24h/24,vendredi,Ouvert 24h/24,samedi,Ouvert 24h/24,Agadir,"9CWX+835, Agadir 80000, Maroc",https://lh3.googleusercontent.com/gps-cs-s/AHVAwepzaDepKhkZP_I_rx0V95Tuf0RnqweF3oYDxgGE7Q_mrlTVb86R26xw6rKVzT0BupGLg-Tqcn3wLJLdvlRDJR6mnFmITgwJNrduyccYf10Hv5_OpeBwIJ1wpnKrchcDOnEktkxZeUMtLzpE=w408-h544-k-no
